"rid";"_categories_rid";"_parent_rid";"level"
13519;1354;1152;2
13520;1354;128;3
13521;1355;87;1
13522;1355;1152;2
13523;1355;128;3
13524;1356;114;1
13525;1356;442;2
13526;1357;114;1
13527;1357;450;2
13528;1358;114;1
13529;1358;455;2
13530;1359;114;1
13531;1359;456;2
13532;1360;114;1
13533;1360;456;2
13534;1361;105;1
13535;1361;1226;2
13536;1362;105;1
13537;1362;1226;2
13538;1363;105;1
13539;1363;1226;2
13540;1364;105;1
13541;1364;1226;2
13542;1365;105;1
13543;1365;1226;2
13544;1366;105;1
13545;1366;1226;2
13546;1367;105;1
13547;1367;1226;2
13548;1368;105;1
13549;1368;1226;2
13550;1369;105;1
13551;1369;1226;2
13552;1370;105;1
13553;1370;1226;2
13554;1371;105;1
13555;1371;1226;2
13556;1372;105;1
13557;1372;1226;2
13558;1373;105;1
13559;1373;1226;2
13560;1374;105;1
13561;1374;1226;2
13562;1375;105;1
13563;1375;1226;2
13564;1376;105;1
13565;1376;1227;2
13566;1377;105;1
13567;1377;1227;2
13568;1378;105;1
13569;1378;1227;2
13570;1379;105;1
13571;1379;1227;2
13572;1380;105;1
13573;1380;1227;2
13574;1381;105;1
13575;1381;1227;2
13576;1382;105;1
13577;1382;1227;2
13578;1383;105;1
13579;1383;1227;2
13580;1384;105;1
13581;1384;1227;2
13582;1385;105;1
13583;1385;1227;2
13584;1386;105;1
13585;1386;1227;2
13586;1387;105;1
13587;1387;1227;2
13588;1388;105;1
13589;1388;1227;2
13590;1389;105;1
13591;1389;1227;2
13592;1390;105;1
13593;1390;1227;2
13594;1391;105;1
13595;1391;1227;2
13596;1392;105;1
13597;1392;1227;2
13598;1393;105;1
13599;1393;1227;2
13600;1394;105;1
13601;1394;1227;2
13602;1395;105;1
13603;1395;1228;2
13604;1396;105;1
13605;1396;1228;2
13606;1397;105;1
13607;1397;1228;2
13608;1398;105;1
13609;1398;1228;2
13610;1399;105;1
13611;1399;1228;2
13612;1400;105;1
13613;1400;1228;2
13614;1401;105;1
13615;1401;1228;2
13616;1402;105;1
13617;1402;1228;2
13618;1403;105;1
13619;1403;1228;2
13620;1404;105;1
13621;1404;1230;2
13622;1405;105;1
13623;1405;1230;2
13624;1406;105;1
13625;1406;1230;2
13626;1407;105;1
13627;1407;1230;2
13628;1408;105;1
13629;1408;1230;2
13630;1409;105;1
13631;1409;1230;2
13632;1410;105;1
13633;1410;1230;2
13634;1411;105;1
13635;1411;1230;2
13636;1412;105;1
13637;1412;1230;2
13638;1413;105;1
13639;1413;1230;2
13640;1414;105;1
13641;1414;1230;2
13642;1415;105;1
13643;1415;1231;2
13644;1416;105;1
13645;1416;1231;2
13646;1417;105;1
13647;1417;1231;2
13648;1418;105;1
13649;1418;1231;2
13650;1419;105;1
13651;1419;1231;2
13652;1420;105;1
13653;1420;1232;2
13654;1421;105;1
13655;1421;1232;2
13656;1422;105;1
13657;1422;1232;2
13658;1423;105;1
13659;1423;1232;2
13660;1424;105;1
13661;1424;1232;2
13662;1425;105;1
13663;1425;1232;2
13664;1426;105;1
13665;1426;1232;2
13666;1427;105;1
13667;1427;1233;2
13670;1429;105;1
13671;1429;1233;2
13672;1430;105;1
13673;1430;1233;2
13674;1431;105;1
13675;1431;1233;2
13676;1432;105;1
13677;1432;1233;2
13678;1433;105;1
13679;1433;1233;2
13680;1434;105;1
13681;1434;1233;2
13682;1435;105;1
13683;1435;1233;2
13684;1436;105;1
13685;1436;1233;2
13686;1437;105;1
13687;1437;1233;2
13688;1438;105;1
13689;1438;1233;2
13690;1439;105;1
13691;1439;1233;2
13692;1440;105;1
13693;1440;1233;2
13694;1441;105;1
13695;1441;1233;2
13696;1442;105;1
13697;1442;1233;2
13698;1443;105;1
13699;1443;1233;2
13700;1444;105;1
13701;1444;1233;2
13702;1445;105;1
13703;1445;1233;2
13704;1446;105;1
13705;1446;1233;2
13706;1447;105;1
13707;1447;1233;2
13708;1448;105;1
13709;1448;1233;2
13710;1449;105;1
13711;1449;1233;2
13712;1450;105;1
13713;1450;1233;2
13714;1451;105;1
13715;1451;1233;2
